Key,Type,Desc,Korean,English,Japanese
ActionCount,Text,,+ 20 행동력,,
+ 20 action,,,,,
Ads,Text,,광고,ADS,ADS
All_story_progression,Text,,모든 이야기 진행,,
All story progression.,,,,,
BGM,Text,,배경음,BGM,
Bag,Text,,가방,Bag,
Book_1_1,Text,,"기억은 종교랬지.
자꾸만 기대고 싶으니까,
우리는 자신의 몸 안에서 길을 잃었고,
걷고 걸었다. 몽유병 환자처럼.","Memory was religion.
Because I keep wanting to lean on you,
We are lost in our own body,
walked and walked like a sleepwalker.",
BoxHint,Text,,"이전에 일하던 친구가 물건을 반대로 정리했다고 한다.
왼쪽 물건을 오른쪽으로,
오른쪽 물건을 모두 왼쪽으로 옮겨야 한다.","It is said that a friend who worked previously organized things the other way around.
Left object to right,
All items on the right must be moved to the left.",
Close,Text,,닫기,Close,
Confirm,Text,,확인,Confirm,
Cost,Text,,"₩5,900",$4.99 ,¥ 610
Delete,Text,,삭제,Delete,
DeleteHistory,Text,,기록 삭제,delete history,
DragBook,Text,,드래그 하여 넘기기,Drag to flip the book,
DroneCheck,Text,,스카이 타운 시민이 맞습니까?,Are you a Skytown citizen?,
DrugMake,Text,,독약 타기,poisoning,
Emergencyareaactivation,Text,,비상구역 활성화,Emergency area activation,
Enter,Text,,입력,Enter,
EnterCode,Text,,코드 입력,,
Enter code,,,,,
Event,Text,,이벤트,Event,
Execution,Text,,집행,Execution,
Farm,Text,,농장,Farm,
Find_Search,Text,,수색,Search,
Fire_event_1,Text,,무슨 일이야!,what's the matter!,
Fire_event_2,Text,,창고에 불이 났어!,,
The warehouse is on fire!,,,,,
Fire_event_3,Text,,불이야!!,,
fire!!,,,,,
Fx,Text,,효과음,FX,
GetDrink,Text,,음료수 획득,,
get a drink,,,,,
GetSeaweed,Text,,해초류 채집,Get Seaweed,
GetSleepingPill,Text,,수면제 획득,,
get sleeping pills,,,,,
Get_Touch,Text,,터치하여 채집....,"Get Touch,,,,,",
