ko,en,ja,it,es
물속에 가라앉다.,Submerged in water.,水の中に沈む,Immerso nell'acqua.,Sumergido en el agua.
We'll meet again,We'll meet again,We'll meet again,Ci incontreremo di nuovo,Nos volveremos a encontrar
하늘이 보이는 곳,Skyscape,空が見える場所,Paesaggio celeste,Celestial
땅에 대한 기억,Memories of Land,陸地の記憶,Ricordi della terra,Recuerdos de la tierra
기습 공격,Surprise Attack,奇襲攻撃,Attacco a sorpresa,Ataque sorpresa
거대한 방주,Big Ark,巨大方舟,Grande arca,Gran arca
선택받은 자,The Chosen One,選ばれし者,Il prescelto,El elegido
펍 주인과의 약속,Promise with the Pub Owner,パブマスターとの約束,Promessa del proprietario del pub,Promesa con el dueño del bar
확인,Confirm,確認,Conferma,Confirmar
채집,Collect,採集,Raccogli,Coger
이동,Go,移動,Vai,Ir
올라가기,Go Up,上がる,Vai su,Subir
내려가기,Go Down,下りる,Vai giù,Bajar
획득,Obtain,獲得,Ottieni,Obtener
열기,Open,開ける,Apri,Abrir
수확,Harvest,収穫,Raccolto,Recolectar
수레,Cart,台車,Carrello,Carro
도착,Place here,到着,Posiziona qui,Poner aquí
투척,Throw,投擲,Getta,Lanzar
잡기,Grab,捕まえる,Prendi,Coger
숨기기,Hide,隠す,Nascondi,Ocultar
cctv,CCTV,防犯カメラ,Telecamera a circuito chiuso,CCTV
읽기,Read,読む,Leggi,Leer
대화하기,Talk,会話する,Parla,Hablar
상류층으로....,To the elites...,三流層に…,Verso le élite...,A las élites...
약,Medicine,薬,Medicina,Medicina
순간의 선택,In-the-Moment Decision,瞬間の選択,Decisione presa sul momento,Decisión al momento
독살,Poison,毒殺,Veleno,Veneno
잠수부,Diver,潜水士,Sommozzatore,Buceador
할아버지의 요청,Grandfather's Request,おじいさんの頼み,Richiesta del nonno,Petición del abuelo
관리자의 요구,Manager's Demand,管理者の要求,Richiesta del direttore,Exigencia del supervisor
알바의 시작,Beginning of a Part-Time Job,アルバイトの始まり,Inizio di un lavoro part time,Comienzo del trabajo a media jornada
펍 주인의 요구,Pub Owner's Demand,パブマスターの要求,Richiesta del proprietario del pub,Exigencia del dueño del pub
할아버지와 체스,Grandfather and Chess,おじいさんとチェス,Il nonno e gli scacchi,El abuelo y el ajedrez
뜻밖의 정전,Unexpected Outage,まさかの停電,Blackout inaspettato,Apagón inesperado
비밀번호,Password,暗証番号,Password,Contraseña
술값...,Liquor money...,飲み代…,Denaro liquoroso...,Dinero de alcohol
강철문 비밀번호,Steel Door Password,鋼鉄の扉の暗証番号,Password della porta d’acciaio,Contraseña Portón de acero
수확의 정석,The Art of Harvesting,収穫の定石,L'arte della raccolta,El arte de la recolección
정식농부 시험,Official Farmer Test,正式農民試験,Test di contadino ufficiale,Examen de maestro granjero
출입 카드,Access Card,アクセスカード,Scheda di accesso,Tarjeta de acceso
해조류 채집,Collect Seaweed,海藻採集,Raccogli le alghe,Recoger alga
위험한 선택,Dangerous Decision,危ない選択,Decisione pericolosa,Decisión peligrosa
마지막 열쇠,Last Key,最後の鍵,Ultima chiave,Última llave
이 사람을 농장으로,Bring this person to the farm,この人を農場に,Porta questa persona alla fattoria,Lleva a esta persona a la granja
제어의 시작,Start of Control,制御の始まり,Inizio del controllo,Comienzo del control
뜻밖의 고통,Unexpected Suffering,想定外の苦しみ,Sofferenza inaspettata,Sufrimiento inesperado
컴퓨터 수리공,Computer Repair Technician,コンピューター修理屋,Tecnico riparatore di computer,Técnico informático
출항 계획,Departure Schedule,出港計画,Orario di partenza,Horarios de salida
탈출의 시작,Star of the escape,脱出開始,Stella della fuga,Comienzo de la huida
잠수정 열쇠 획득,Obtain Submarine Key,潜水艇の鍵獲得,Ottieni la chiave del sottomarino,Obtener llave del submarino
라이터를 켜라,Light the lighter,ライターをつけろ,Accendi la fiamma dell'accendino,Encender el mechero
칵테일,Cocktail,カクテル,Cocktail,Cóctel
시체 운반,Move Dead Body,死体運搬,Sposta il cadavere,Mover cadáver
눈을 돌려라,Avert your eyes,目を回せ,Distogli lo sguardo,Desvía la mirada
학교로 가는길,The Way to School,学校にいく道,La strada per la scuola,Camino a la escuela
입구를 막아라,Block the entrance,入り口を塞げ,Blocca l'ingresso,Bloquear la entrada
모두를 잠재워라,Put everyone to sleep,全員眠らせろ,Addormenta tutti,Dormir a todos
가드 운반,Move Dead Security Guard,ガード運搬,Sposta la guardia di sicurezza morta,Mover el cadáver del guardia de seguridad
바닷속,Under the Sea,海の中,In fondo al mare,Bajo el mar
선착장,Dock,船着場,Molo,Muelle
